n,d,s,seed,case,sketch_err_logits_hs,sketch_err_output_hs,fp_err_logits_hs,fp_err_output_hs,total_err_logits_hs,total_err_output_hs,ref_logits_hs,ref_output_hs,runtime_ms
64,32,16,0,fp8_store_sk16,92.35684920524577,13.270264207766484,6.882170356409202,1.2654701628251523,91.48600473820044,13.271903921411985,63.87173941517065,9.457262606910298,1.6170449962373823
64,32,24,0,fp8_store_sk24,69.65250453304137,9.104353545979704,5.204787789560655,1.0379735430086108,69.59011640268918,9.099207267748096,63.87173941517065,9.457262606910298,1.6877179950824939
64,32,32,0,fp8_store_sk32,70.78445917532757,9.067375439285328,5.050729602049309,0.9903059052002685,71.14999651401321,9.037110125264594,63.87173941517065,9.457262606910298,3.2235390026471578
64,32,8,1,full_fp32_sk8,142.35708173286048,18.368839848507285,1.872189035182602e-05,6.7609642865171335e-06,142.35708197696897,18.368839805730357,61.86587750590697,8.937342817189132,1.8915199980256148
64,32,16,1,full_fp32_sk16,84.24265280223557,10.441816911196359,1.4559722895436193e-05,3.6484018100489438e-06,84.24265448627816,10.441817543887122,61.86587750590697,8.937342817189132,1.108516997192055
64,32,24,1,full_fp32_sk24,74.02653603308909,10.468085353369261,1.3991613228900909e-05,3.609454001893727e-06,74.02653685555087,10.468085043257048,61.86587750590697,8.937342817189132,0.40839900611899793
64,32,32,1,full_fp32_sk32,68.3134645341036,8.544726597694519,1.454121491915105e-05,4.2946374482639455e-06,68.3134665629254,8.544727227205968,61.86587750590697,8.937342817189132,0.3084799973294139
64,32,8,1,full_fp16_sk8,142.35708173286048,18.368839848507285,0.08923612216413103,0.028397226898019448,142.35501118490956,18.365492944120337,61.86587750590697,8.937342817189132,0.5921869960729964
64,32,16,1,full_fp16_sk16,84.24265280223557,10.441816911196359,0.05303842905892398,0.013291253272014447,84.24853103091823,10.443907927338275,61.86587750590697,8.937342817189132,0.5834749972564168
64,32,24,1,full_fp16_sk24,74.02653603308909,10.468085353369261,0.05236662621297676,0.012291491523026606,74.02633062726487,10.469549375912603,61.86587750590697,8.937342817189132,0.7167570001911372
64,32,32,1,full_fp16_sk32,68.3134645341036,8.544726597694519,0.04829192026820915,0.010703882876450653,68.31306404578395,8.54583141479417,61.86587750590697,8.937342817189132,0.6492620013887063
64,32,8,1,mixed_fp16_sk8,142.35708173286048,18.368839848507285,0.0755252592601304,0.01698603116525098,142.3567703649228,18.367171838293903,61.86587750590697,8.937342817189132,0.48226000217255205
64,32,16,1,mixed_fp16_sk16,84.24265280223557,10.441816911196359,0.04422800110412331,0.0072410331265832795,84.24764395695173,10.442652576133684,61.86587750590697,8.937342817189132,0.2804520045174286
64,32,24,1,mixed_fp16_sk24,74.02653603308909,10.468085353369261,0.043930521855344795,0.0079725828784921,74.02654800896772,10.467180284082433,61.86587750590697,8.937342817189132,0.45176900312071666
64,32,32,1,mixed_fp16_sk32,68.3134645341036,8.544726597694519,0.03953365011182198,0.007483061286051061,68.31212182157736,8.545432815142714,61.86587750590697,8.937342817189132,1.0486370010767132
64,32,8,1,fp8_store_sk8,142.35708173286048,18.368839848507285,9.919397263895847,2.2472576888622466,140.42296280837806,18.130583378213025,61.86587750590697,8.937342817189132,0.7235279990709387
64,32,16,1,fp8_store_sk16,84.24265280223557,10.441816911196359,5.639178085558331,0.995497986434616,83.62057844972138,10.493933389813385,61.86587750590697,8.937342817189132,1.2843309959862381
64,32,24,1,fp8_store_sk24,74.02653603308909,10.468085353369261,5.4515420559132775,0.9624519506989948,73.74530714525108,10.599791643535122,61.86587750590697,8.937342817189132,1.4444550033658743
64,32,32,1,fp8_store_sk32,68.3134645341036,8.544726597694519,5.07125052481356,0.931264839881403,67.86175526340178,8.454287874463105,61.86587750590697,8.937342817189132,1.9320950013934635
64,32,8,2,full_fp32_sk8,106.67362306247345,13.443976459908964,1.6153436329833232e-05,4.0975221555505775e-06,106.67362637074308,13.443976633695277,61.57011564292618,8.01745943188246,0.6925710040377453
64,32,16,2,full_fp32_sk16,95.98324965069384,17.467059302124458,1.6769346329116127e-05,5.666779393753262e-06,95.98325030225475,17.467058873971634,61.57011564292618,8.01745943188246,0.3136199957225472
64,32,24,2,full_fp32_sk24,71.6447576598948,9.570506821033618,1.3642857084923906e-05,3.8263837790683785e-06,71.64475981977974,9.570506913370119,61.57011564292618,8.01745943188246,0.21336699865059927
64,32,32,2,full_fp32_sk32,59.851997261041916,7.982144057849921,1.3548260785485666e-05,4.087555658650224e-06,59.85199815534714,7.982144419011905,61.57011564292618,8.01745943188246,0.22330299543682486
64,32,8,2,full_fp16_sk8,106.67362306247345,13.443976459908964,0.06701669469947816,0.02051215363117275,106.67660108166781,13.445741651768763,61.57011564292618,8.01745943188246,0.5030769971199334
64,32,16,2,full_fp16_sk16,95.98324965069384,17.467059302124458,0.06401426009903405,0.022078654304548476,95.98597190827142,17.470147394370176,61.57011564292618,8.01745943188246,1.3888100002077408
64,32,24,2,full_fp16_sk24,71.6447576598948,9.570506821033618,0.04919777110291383,0.012931811593460671,71.64197186406324,9.570887148299931,61.57011564292618,8.01745943188246,0.5938719987170771
64,32,32,2,full_fp16_sk32,59.851997261041916,7.982144057849921,0.044987723220548705,0.012441798026829206,59.85178226944944,7.98111011406579,61.57011564292618,8.01745943188246,0.9423059964319691
64,32,8,2,mixed_fp16_sk8,106.67362306247345,13.443976459908964,0.05821022342549584,0.013197705777066193,106.67628302605489,13.445859381114872,61.57011564292618,8.01745943188246,0.560236003366299
64,32,16,2,mixed_fp16_sk16,95.98324965069384,17.467059302124458,0.053688956331102294,0.012545071670192245,95.98371001902684,17.46825225095601,61.57011564292618,8.01745943188246,0.6247380006243475
